ResponseId,,Q4_0_35_RANK,Q4_0_36_RANK,Q4_0_37_RANK,Q4_0_38_RANK,Q4_0_39_RANK,Q4_0_40_RANK,Q4_0_41_RANK,Q4_0_51_RANK,Q4_0_50_RANK,Q4_0_44_RANK,Q4_0_52_RANK,Q4_0_46_RANK,Q4_0_47_RANK,Q4_0_48_RANK,Q4_0_49_RANK,Q4_1_35_RANK,Q4_1_36_RANK,Q4_1_37_RANK,Q4_1_38_RANK,Q4_1_39_RANK,Q4_1_40_RANK,Q4_1_41_RANK,Q4_1_51_RANK,Q4_1_50_RANK,Q4_1_44_RANK,Q4_1_52_RANK,Q4_1_46_RANK,Q4_1_47_RANK,Q4_1_48_RANK,Q4_1_49_RANK,Q4_2_35_RANK,Q4_2_36_RANK,Q4_2_37_RANK,Q4_2_38_RANK,Q4_2_39_RANK,Q4_2_40_RANK,Q4_2_41_RANK,Q4_2_51_RANK,Q4_2_50_RANK,Q4_2_44_RANK,Q4_2_52_RANK,Q4_2_46_RANK,Q4_2_47_RANK,Q4_2_48_RANK,Q4_2_49_RANK,Q5_0_47_RANK,Q5_0_48_RANK,Q5_0_49_RANK,Q5_0_50_RANK,Q5_0_51_RANK,Q5_0_73_RANK,Q5_0_52_RANK,Q5_0_53_RANK,Q5_0_54_RANK,Q5_0_74_RANK,Q5_0_56_RANK,Q5_0_57_RANK,Q5_0_59_RANK,Q5_0_71_RANK,Q5_0_61_RANK,Q5_0_62_RANK,Q5_0_63_RANK,Q5_0_64_RANK,Q5_0_65_RANK,Q5_0_66_RANK,Q5_0_67_RANK,Q5_0_68_RANK,Q5_0_69_RANK,Q5_0_70_RANK,Q5_1_47_RANK,Q5_1_48_RANK,Q5_1_49_RANK,Q5_1_50_RANK,Q5_1_51_RANK,Q5_1_73_RANK,Q5_1_52_RANK,Q5_1_53_RANK,Q5_1_54_RANK,Q5_1_74_RANK,Q5_1_56_RANK,Q5_1_57_RANK,Q5_1_59_RANK,Q5_1_71_RANK,Q5_1_61_RANK,Q5_1_62_RANK,Q5_1_63_RANK,Q5_1_64_RANK,Q5_1_65_RANK,Q5_1_66_RANK,Q5_1_67_RANK,Q5_1_68_RANK,Q5_1_69_RANK,Q5_1_70_RANK,Q5_2_47_RANK,Q5_2_48_RANK,Q5_2_49_RANK,Q5_2_50_RANK,Q5_2_51_RANK,Q5_2_73_RANK,Q5_2_52_RANK,Q5_2_53_RANK,Q5_2_54_RANK,Q5_2_74_RANK,Q5_2_56_RANK,Q5_2_57_RANK,Q5_2_59_RANK,Q5_2_71_RANK,Q5_2_61_RANK,Q5_2_62_RANK,Q5_2_63_RANK,Q5_2_64_RANK,Q5_2_65_RANK,Q5_2_66_RANK,Q5_2_67_RANK,Q5_2_68_RANK,Q5_2_69_RANK,Q5_2_70_RANK,Q6_0_108_RANK,Q6_0_105_RANK,Q6_0_110_RANK,Q6_0_102_RANK,Q6_0_100_RANK,Q6_0_107_RANK,Q6_0_101_RANK,Q6_0_106_RANK,Q6_0_99_RANK,Q6_0_103_RANK,Q6_0_98_RANK,Q6_0_96_RANK,Q6_0_104_RANK,Q6_0_97_RANK,Q6_1_108_RANK,Q6_1_105_RANK,Q6_1_110_RANK,Q6_1_102_RANK,Q6_1_100_RANK,Q6_1_107_RANK,Q6_1_101_RANK,Q6_1_106_RANK,Q6_1_99_RANK,Q6_1_103_RANK,Q6_1_98_RANK,Q6_1_96_RANK,Q6_1_104_RANK,Q6_1_97_RANK,Q6_2_108_RANK,Q6_2_105_RANK,Q6_2_110_RANK,Q6_2_102_RANK,Q6_2_100_RANK,Q6_2_107_RANK,Q6_2_101_RANK,Q6_2_106_RANK,Q6_2_99_RANK,Q6_2_103_RANK,Q6_2_98_RANK,Q6_2_96_RANK,Q6_2_104_RANK,Q6_2_97_RANK
R_3K1nriFIF0tBeAt,,,,2,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,2,,,,,,1,,,,,,,,,,,,,,,2,,,,,1
R_7sYhK5d5sOEjQ05,,,,1,2,3,,,5,4,,,,,,,2,,,,,,,,,,3,,,,1,,3,,,,2,,,,1,,4,,,,1,,8,9,,,,2,4,,5,,3,,,,,,7,,6,,,,,,,,3,,,,,,,,,,1,,,,,,,,,2,,,,,,,2,,,,,1,,,,3,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,1,,,
R_7uExhntNyvQG75v,,7,,2,3,5,,6,1,4,,8,,,,,,1,,,,2,,,,,,3,,,,,,,,,,,,,2,,,4,1,3,1,,8,,,,,,,,,6,2,,,,4,5,3,,,,7,,,,,,,,,2,,,3,,,,,,,,,,1,,,,,,,1,,,,,3,,,,,,2,,,,,,,,,,,,,,1,,,2,,,,,,,,,,2,,,,,,,,1,,,,3,,,,,,,1,,,,,2
R_5gO8o3u9QVEgnKS,,,1,,,,3,,,,2,,,,,,,,5,3,6,,4,1,2,,,,,,,3,,,,,,,,,,2,5,6,4,1,,,5,,,,,,,,,1,,2,,,3,4,,,,,,,,,,2,,,,,,,,,,,,,,,1,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,1,,,,,,,2,,,,,,,1,,,,1,,,,,,,,2,,,,,,,,1,,,,,2,,,
R_65uS6tmCknHbwoR,,6,,,,,,5,,,,4,,3,1,2,,1,,,,3,,,4,2,,5,,,,,,1,4,2,,,3,,,,,,,,1,,,4,,,,3,6,,,,2,,,,,,,,,,5,,,,5,,,1,,,,,,3,,7,,,4,2,6,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,3,,,,,1,,2,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,2,,,,,1
R_6EKeNAxAox4NtY6,,,,1,2,,,,,,,,,,,,1,,,,2,,,3,,,4,,5,,,,2,,,,1,,,,3,,,,,,1,,8,,,,,,7,,,5,2,,9,,6,,,4,,,3,,,,,,5,,,4,,,2,,,,,,,,1,,3,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,3,,,1,,,2,4,,,,,5,1,,4,,,3,,,,,2,,,
R_6jxqdiXxY6kmF5K,,,1,,,,2,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,2,3,,,,,4,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,4,,,2,,,,,3,,,,,,,2,,,,,,,,1,,,,,,,,,,,2,,,,,1
R_5gA5cbOe2g6xBKa,,1,,2,4,5,,,6,3,,,,,,,,1,,,,2,,,,3,,4,,,,,,,,,,1,,,,2,,3,4,5,14,,10,5,7,,,1,3,,2,6,4,,,,9,11,8,,12,,13,,,,,,,,2,,,,,,,1,,4,,,,3,,,,,,4,,,,5,,,,2,,,,,3,,,,,,,1,,6,,,,2,,,,,,,,1,,,2,,3,,,1,,,,,,,,,,2,,,3,,4,1,6,5,8,,9,7
R_32Y2If5YiFWdnpB,,2,,6,5,3,,,,1,,4,,,,,,5,,,,3,4,2,,,,1,,,,,,,,,,,,,4,,,2,3,1,,8,,5,,3,,4,,1,,,,7,,,,,,,,6,,2,,,,,3,,2,,7,,8,,,,5,,,,6,1,4,,,,3,,6,,,,,,,,,8,5,,,7,2,4,,,,,1,,,,,4,,2,,1,5,,3,,,,,,1,,,,,,,2,,3,,,1,2,,,6,,3,,,,,,5,4
R_1ilpvjE464jwZSN,,7,,,,,,6,5,,,4,1,3,2,,,1,,,,4,,,3,2,,,,,,,,3,4,2,,,,,,,,,,1,1,,9,,,,5,,8,,6,,2,,,7,,,,,3,,4,10,,,,6,11,4,,9,,,,1,,10,,,2,3,5,7,,8,,,,3,,,,,,,,2,,,,,1,,,,,,,,,,2,,1,,,3,,,,,,,,,,5,,1,,,,,4,,,2,,3,,,,,2,,5,6,,3,4,,1,
R_7jD0EZUj7C3TIfT,,,,1,3,2,,,,,,,,,,,5,,,,,,2,4,6,,1,3,,,,,2,,,,3,,,,5,,,1,4,6,9,11,6,5,,10,,,,,,4,3,,,,8,2,1,,,,7,,,,,,1,,,,5,6,,,,2,3,,,,,,,4,,7,,,,,,,5,3,,,4,,,,,6,,,,2,1,,,,,3,,,6,5,,2,4,,1,,,7,5,,,4,,,,,,3,,2,1,,,,2,,,,1,,,,,,,
R_3n1bE2NDjVFJP62,,,,5,1,2,,,3,4,,,,,,,,2,,,,1,,,,3,,,,,,,,,,,,1,,,,2,3,4,6,5,,,,,1,2,,,,,,,,,4,,,,,,,,,3,,2,,,,,1,,3,5,4,,,6,,7,8,,,9,,10,,,4,,5,6,,,,7,,,,3,2,,,,,1,9,,8,,10,,1,,4,,,,,,,2,,,3,,,6,,,4,,5,2,3,,,,,1,,,,3,,2,,,,,4,1,,
R_3cqlrGSYeasrHcw,,,1,,,,2,,,,,,,,,,,,,,,,,,,2,,,1,,,,,2,1,5,,,4,3,,,,,,,1,,3,2,,,4,,13,,,6,5,,,8,7,,9,10,12,,11,,,,,,,1,,3,,,4,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,3,,2,,,,,,,,,1,,,,,,2,,6,3,,2,7,4,,8,1,,9,,,5
R_7pPvAgq7ABFyJe9,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,1,,,,,,3,,,,,,,,,2,,,,,1,,,,,2,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,3,,,2,,,,,,,,,,1,,,,,,,2,,,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,,1,,,,,2,,,
R_3pWJpQLaA1armbh,,,,5,3,1,,,4,2,,,,,,,1,,,,,,,,,,4,,2,,3,,3,,,,2,,,,1,,,,,,2,,,,,,,,5,,,,4,,,,,,1,,,,3,,,,,,,,,2,,,3,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,4,,,3,5,,,,,,,,2,,,3,,,1,4,,5,,,,,,,,,,1,,,2,,,,,3,,2,,,1,,,,,,,,
R_6lrG7gKLdUstX7P,,1,,,,,,,,,,,,,3,2,,1,,,,3,,,,2,,,,,,,,1,2,3,,,4,,,,,,,,1,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,2,,,
R_6odLTZa185lnRkb,,1,,3,,,,5,,,,4,,2,,,,5,,,,4,,2,,3,,1,,,,,,,2,,,,,,,,,,1,3,1,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,1,,,,,,,,,2,,,,3,,,,1,,,,,,,,,,,,,,1,3,,,,2,,,,,,,,,,,,,,,,3,1,,2,3,,,,,2,1,,,,,,,
R_5i40IBFcniObSIt,,,,,1,,,,,,,,,,,2,,,,,,,,,,2,,,,1,,,,2,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,,1,,,,,,
R_66b5UKdZLiwSkbT,,3,,,1,2,,,4,,,,,,5,,,,1,,,5,4,,,3,,,,,2,,3,,,,,,,4,,2,1,5,,,4,5,1,3,,7,2,10,8,6,9,,,,,,,,,,,,,,,,,,1,,,,,,,,2,4,,7,5,8,3,,,,6,,,,,,,,,,,,,4,,,2,,,,,6,1,5,,3,,,1,5,,2,,4,6,,3,,,,1,3,,,2,,,,,,,,,,,,,,,,2,,,5,,4,1,3
R_6eQ8TiTsCD2JFXX,,1,,,,,,,,3,,6,,5,4,2,,1,,,,4,,,,2,,3,,,,,,4,5,1,,2,3,,,,,,,,1,,,9,,,5,6,8,,13,,,,7,12,2,10,3,,4,,11,,,,,,5,3,,,,1,,,,4,,,,,,,,,,2,,2,3,,,,,,,,,5,4,,,,,,,1,,6,,,,,2,,,1,,,,4,3,,,,,1,,2,3,,,5,,,,4,,6,1,,,,,,2,,4,,,,3,
R_64uwxOpmuxKiN1P,,,,1,4,5,,,2,3,,,,,,,,4,,,,2,,,,1,,3,,,,6,,,,,,2,,,,1,,5,4,3,1,,2,,,,3,15,6,,,4,5,14,,13,12,8,11,10,9,,7,,,3,,5,,,,,,4,2,,,,1,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,2,,1,,,,3,,,,,,,2,1,,,,,3,,,,1,,,2,,,4,,1,2,,,4,5,,7,6,,,,,3
R_1MnEe1NeAKVuHuc,,,,1,,,,,2,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,2,
R_7QrgVuGZoISTUu0,,,1,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,1,2,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,1,,2,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,,2,,,
R_1eV7uUCijbkodmp,,,,1,2,3,,,,,,,,,,,,1,,,,2,,,,,,,,,,4,,,,,,1,,,2,3,,,,,2,,,,,,,,,,,,1,,,,,,3,,,,4,,,,,,,,,3,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,3,,2,,,4,1,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,2,,,
R_6QFWTQjS2iBRRxH,,,2,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,2,,
R_3QQCtRF3rkbzNjm,,,,5,1,6,,,3,4,,,,2,,,,1,,,,5,,,,2,,3,,,4,2,,,,,,1,,,,3,,,4,,6,,,8,,,10,5,3,,4,,2,,7,,,,9,,1,,,,,6,,,3,4,,,,1,,,,,,,,,,,,2,,5,,,5,,,,,,,,,7,,4,,2,8,6,,1,,,3,,4,,,1,,3,,,,,,2,,,,4,,,6,,,2,3,,1,,,5,,,1,,,,3,,,4,,,2,
R_5VqLSbOVJjfu1xv,,,,1,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,2,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,1,,,2
R_1goT6RsxaC1Q8yY,,2,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,2,,,,,,
R_53nUBJeNGsSSjoR,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,2,1,,,,3,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,2,,2,3,1,,,,,,,,,,,,,,,,,,,,,3,,1,2,,,,,,,,2,,3,,1,,
R_18ImeXnljQHfHPF,,1,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,2,,,,,,,,1,,,2,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,
R_5PiZmYwgwRFcGNh,,1,2,,,,,,,,3,,,,,,,,5,4,7,6,2,3,1,,,,,,,,,,,,,,,,,1,2,5,4,3,,,2,,,,,,,,,5,,1,,,4,3,,,,,,,4,,,,,,,,2,,,,1,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,2,,,,,,,1,,,3,2,,,,,,,,1,,,2,,,,,3,,,
R_1oO4tM0pr3cylXi,,,1,3,,,,,,,2,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,4,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,2,,,,2,,,,,,,,,,,,,1,,,,,,3,,,,,4,,1,,,3,,,,,2,1,2,,,3,,,,,,,,,,,,2,,,,1,,,,,,,
R_6mlotas5bY5bjSv,,1,,,,,,,,,4,2,,5,3,6,,3,,,,2,,,,,,1,,,,,,3,6,5,,2,4,1,,,,,,,11,,15,12,,13,7,14,6,,,2,9,,,4,1,10,8,5,,,3,,,,,,,,,,,,1,,,,2,,,,,,3,,,,,1,,,6,,,,,5,,,,2,,,,,,,,3,,4,1,,3,,,5,,,,2,4,,,,,1,,6,,,3,,,,,4,5,2,,,,,2,,,3,1,,,,,
R_6Xafcqil1IPeZvR,,,,,,,3,2,1,,,,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,3,,,,,,2,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,,,,,,,,,,3,1,,,2,,,,,,,2,,,,,3,,,,,1,,,,,,,,,,,,,,,2,1,
R_1jY26IKgohOWSmB,,1,,,,,,,,,,,,,,2,,,,,,1,,,,2,,,,,,,,,,2,,,1,,,,,,,,5,,9,,,,,,,,,1,4,,,,7,2,3,,8,,6,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,8,,,,2,6,,7,,,3,5,,,,,,,4,,1,,,,,2,,,1,,,,,,,3,,,,,2,,,,,1,,,,,1,,,,,,,2,,,,,3
R_6V7SfNMU710y8YV,,,1,2,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,2,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,3,,,,,,2,1,,,,,,,,,,,1,2,,,,
R_1q2ekCAaQHCHCqU,,6,,,2,,5,,,,,,3,,4,1,,1,,,3,,,2,,,4,,,,,,,3,,,,1,,4,2,,,5,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,2,,,,,2,,1,,,,,,,,,,1,,,,,,2,,,,,,,
R_6MzuddKnq0IbTSF,,1,,,,,,,,,,2,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,1,,,,,2,,,,,,,,1,,,,,,,,,,,,2
R_3Fkquw6JljQagup,,1,,,,,,,,,2,,,,,,,,,2,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,1,2,,,,,,1,,,2,,,,,,
R_3ahlB7xh6XHPgZD,,,2,,,,1,,,,3,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,1,,,,,,,2,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,2,,,,,1,,,
R_5LiEIUv3teqTE9m,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,2
R_1HwmRQR4NtXcIVj,,,,1,2,3,,,,,,,,,,,,,,,,,,,,3,2,,,,1,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,3,7,,,,5,4,2,,,,6,,,,5,2,,,,4,6,,,,,,1,,,,,,3,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,1,,,,,3,,,,,2,,,,,,,1,,,,,,,,2,,,,,,,2,,,1,,,,,,
R_3ExXzMk837kc2M1,,,,,2,1,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,2,,,,,
R_3OJ4fdmmEspjZgR,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,,2,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,1,,,,,1,,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,2,,,
R_6jp8pUfrU4uIs85,,,1,,,,2,,,,4,,3,,6,5,2,,,,,,4,,5,,3,,1,,,,,1,4,2,,,3,,,,,,,,2,,8,7,,,,,1,,,,6,,,5,,,4,,,,3,,,1,,,,,7,4,,9,8,6,,,,,3,,,5,2,,,,,,,,4,5,,,,,,,,3,7,,,6,,,,2,,1,1,,2,4,,,,,,,3,,,,,2,,,1,5,,4,6,,,,,3,,,,,,,2,,,1,,3,4,
R_1fq8nQNK96IK93u,,,,1,2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,2,,
R_6rvlWjI2IPduFXj,,,1,4,2,,,5,,,3,,6,,,,3,,,,1,4,,,2,,,,,,5,,,,,,,,2,,,4,,1,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,2,,,,,,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,1,,,,2
R_6g8fLPyRx9vw1kl,,,,3,1,2,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,4,,,,,,,,2,,,,3,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,3,,,,,,,,2,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,2,,,,,,,,1,,
R_57e4I65VuwC8wdv,,1,,4,3,7,,,6,5,,,2,,,,,,,,,,2,,,4,3,,5,6,1,,2,,,,1,,,,,,,,,,1,2,11,7,,,,,,4,,10,3,,,,8,,5,6,,,9,,,,,,4,,2,11,9,,8,,,3,7,1,,5,,,6,,,10,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,1,2,3,,,,,,4,,,2,1,,,,,,3,6,,4,,,5,,,2,,,,1,,,3,,,4,
R_1xHIGIut3rJnUQh,,,,,,,2,,3,,1,,,,,,,,,1,2,,4,,3,,,,,,,,,,,,,,,,,,3,2,4,1,,,2,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,4,,,,,3,,,,,,,,,,,,,,,4,3,,,,1,,,,,,2,,1,,,,,,,,,,,2,,3,,,,3,,2,1,,,,,,,,,,,,4,,,2,3,,1,,,
R_1GDSaSWqxDMwik1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,2,1
R_6rW0gIlhdm36tcB,,,,1,3,4,,,5,,,2,,,,,2,,,,,4,5,,1,,,,,3,,,1,,,,,,,,4,,2,5,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,1,,,,,3,1,,2,,,,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,1,2,,,,,3,
R_6OW2PYsNZDIENyh,,4,,1,2,3,,,,,,,,,,,,,,,,,4,3,,1,,2,,,,,2,,,,1,,,3,,5,,4,7,6,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,2,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,1,,,2,,,,,,
R_3K6UXrSgcHKonCW,,,3,,,,1,,,,2,,,,,,4,,1,2,3,,,5,6,,7,,,,,,,,,,,,,,,,3,4,2,1,9,,3,2,,,,,5,,,7,6,,,,4,,1,,,,8,,,,,,,,1,5,,,4,,,,7,,,3,,2,8,6,,,,,,,3,4,,,,6,,,,2,,1,,,,,,,,5,,2,,5,1,,,7,6,,,4,,3,,,,,,,1,,,2,,,3,,1,,3,,,2,,,,,4,,,
R_6TToGoFPOp3D7eF,,2,,,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,1,,,2,,,,,,,,
R_3FG01KhRwYFENPI,,,3,,,,2,,,,1,,,,,,,,1,2,3,,4,5,,,,6,,,,1,,,,,,,,3,,2,,4,6,5,2,,12,14,,15,13,,11,,1,10,9,,,8,7,,4,3,5,,6,,,6,,,,,,2,,5,,,,1,,,,3,,,,4,,,,,,,3,,,,,,,,,,2,,,,,,,,,1,2,1,,,,,3,,,,,,4,,,,,1,,,,,,,2,3,,,,,2,,7,5,,4,3,1,,,,6
R_3cpHYmHwAJgNIDR,,,,5,3,2,,,,,1,,,4,,,4,1,,,,2,,5,,,,,,,3,,,,,,,1,,3,,2,4,,5,,2,,,3,,,,,,,,,5,,,,,,1,,,,4,,,,,,,,,,,,,2,,,,3,,,,,4,,,1,,,,,,2,,,,,,,,,3,,,,,1,,4,,,,,,1,,,,,,,,2,,,,,,,,,,2,,,1,,,,,,1,,,2,,,,,,,,
