duration,responseId,Q4_0_GROUP,Q4_1_GROUP,Q4_2_GROUP,Q5_0_GROUP,Q5_1_GROUP,Q5_2_GROUP,Q6_0_GROUP,Q6_1_GROUP,Q6_2_GROUP,angryorchard,bacardi,budweiser,coors,corona,crownroyal,highnoon,newbelgium,odells,smirnoff,scrumpys,titos,topochico,truly,whiteclaw,benjerry,coke,campbell,chocolove,generalmills,hershey,impossible,kellogg,kraft,larabar,nestle,pepsico,pueblochiles,tyson,burgerking,chickfila,chipotle,crackerbarrel,denverbiscuit,dominos,firehouse,fiveguys,illegalpete,jimmyjohns,kfc,mcdonalds,musiccity,panera,papajohns,popeyes,raisingcanes,sonic,starbucks,subway,sweetgreen,tacobell,wafflehouse,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q17_4_TEXT,Q18,Q18_4_TEXT,Q19_1,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4,Q_TotalDuration,Race
406,R_31uv8I0VvFbIlA6,"Bacardi,Corona,Budweiser","Titos,Odells,Smirnoff","White Claw,Crown Royal","Burger King,Chipotle,Domino's","Panera Bread,Five Guys Burgers and Fries,Mcdonald's","Starbucks,Waffle House,Taco Bell","Chocolove,Coca-Cola","General Mills,Pepsico","Nestle,Impossible Burger,Kellogg",5,4,5,4,,5,4,5,4,5,1,5,5,2,5,4,5,4,5,2,4,3,3,3,3,5,4,4,4,5,4,4,4,5,5,4,4,4,4,4,5,3,2,4,1,2,2,4,5,3,5,5,5,6,4,5,7,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",80220,25-34 years old,Male,,Democrat,,5,5,3,4,3,3,4,4,3,406,H
1011,R_7OCSb46eUyXX1rX,"Smirnoff,Truly,Angry Orchard,Corona,Coors Light","Titos,Budweiser,Crown Royal,New Belgium,Odells","Topo Chico Seltzer,Scrumpys Cider,Bacardi,High Noon,White Claw","Burger King,Chipotle,Chick-fil-A,Raising Cane's Chicken Fingers,Jimmy John's,Mcdonald's,Taco Bell,Subway,Starbucks,Panera Bread,Papa John's,Five Guys Burgers and Fries,Sonic Drive-In","KFC,Firehouse Subs,Waffle House,CAVA,Cracker Barrel","Sweetgreen,Popeyes,Denver Biscuit Co,Music City Hot Chicken,Domino's,Illegal Pete's","Hershey,Ben & Jerry's,Tyson,Campbell,Kraft,Nestle","Coca-Cola,General Mills,Chocolove,Impossible Burger","Kellogg,Larabar,Pueblo Chiles,Pepsico",4,3,2,2,3,3,2,1,1,5,1,3,1,4,2,4,3,2,2,1,5,1,1,1,1,3,1,1,2,3,5,5,2,,2,3,3,1,4,4,5,,4,4,2,4,4,5,5,1,4,,6,4,6,2,5,Yes,Other,High school diploma or GED,"$25,000-$49,999",80113,18-24 years old,Female,,No preference,,2,3,3,3,3,3,3,3,3,1011,H
491,R_6cq4mWCVK9nhBA2,"Budweiser,New Belgium,Bacardi","Odells,Smirnoff","White Claw,Titos","Chick-fil-A,Chipotle,Denver Biscuit Co","Music City Hot Chicken,Panera Bread,KFC","Subway,Sonic Drive-In","General Mills,Chocolove,Hershey","Pueblo Chiles,Pepsico,Larabar","Tyson,Kellogg,Nestle",2,3,3,3,3,4,4,3,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,1,5,4,1,2,2,3,1,1,1,5,1,3,4,1,1,1,1,3,3,3,3,3,No,Black or African American,"Some college, but no degree","$50,000-$74,999",80011,18-24 years old,Female,,Democrat,,4,3,3,3,3,3,3,3,3,491,B
390,R_6bTA1GgRF6hwNmM,"Coors Light,Corona","New Belgium,Smirnoff,Titos","Truly,White Claw","Papa John's,Domino's","Raising Cane's Chicken Fingers,Chick-fil-A,Popeyes","Burger King,Panera Bread,Subway,Mcdonald's,Sonic Drive-In,Taco Bell","General Mills,Kellogg","Nestle,Ben & Jerry's,Hershey,Chocolove","Kraft,Pepsico,Coca-Cola",4,,4,4,5,3,,,4,2,,2,,5,5,5,4,5,,4,5,2,5,4,2,,4,3,5,,5,5,,4,5,4,,5,,4,3,,5,,4,4,,4,1,2,4,4,7,5,2,5,7,No,Black or African American,Bachelor’s degree,"$50,000-$74,999",80224,25-34 years old,Male,,Democrat,,1,1,1,1,5,5,5,1,1,390,B
1056,R_134tVmp2gGJtl2q,"Budweiser,Coors Light,Bacardi,Odells,New Belgium,Corona","Angry Orchard,Scrumpys Cider,Topo Chico Seltzer,Crown Royal,Smirnoff","Titos,High Noon,Truly,White Claw","KFC,Illegal Pete's,Burger King,Raising Cane's Chicken Fingers,Popeyes,Subway,Jimmy John's,Papa John's,Mcdonald's,Chick-fil-A,Cracker Barrel,Sonic Drive-In","Panera Bread,CAVA,Sweetgreen,Five Guys Burgers and Fries,Music City Hot Chicken,Domino's","Taco Bell,Starbucks,Denver Biscuit Co,Waffle House,Chipotle,Firehouse Subs","Hershey,Coca-Cola,Chocolove,Kellogg,Campbell,Ben & Jerry's,Kraft","Pueblo Chiles,Tyson,General Mills","Nestle,Pepsico,Larabar,Impossible Burger",3,3,4,4,5,5,3,3,2,2,2,2,2,2,3,4,4,2,4,,4,2,4,5,,2,4,3,4,,,,4,,,,,,,,,,,,,4,2,4,4,4,3,4,6,3,6,6,3,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",80537,35-44 years old,Prefer not to say,,Independent,,4,2,2,2,3,5,2,3,4,1056,W
840,R_6QDVBLqJz4DeEtr,"Crown Royal,Smirnoff,White Claw,Bacardi","Topo Chico Seltzer,High Noon,Scrumpys Cider,Angry Orchard","Odells,Budweiser,New Belgium,Coors Light,Corona","KFC,Mcdonald's,Chick-fil-A,Burger King","Panera Bread,Cracker Barrel","Domino's,Papa John's","Coca-Cola,Pepsico","General Mills,Kraft,Campbell,Nestle,Kellogg","Ben & Jerry's,Chocolove,Hershey",3,5,4,2,5,1,1,5,1,4,1,1,1,1,1,5,3,4,3,5,5,2,4,4,3,4,2,2,1,4,1,4,5,3,4,2,2,2,4,4,4,3,4,5,4,1,4,4,4,3,3,3,5,5,3,5,5,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$25,000-$49,999",80550,65+ years old,Female,,Democrat,,2,1,1,1,1,5,5,1,1,840,W
698,R_6NuemdxRhN2iIQ9,"Coors Light,Budweiser","New Belgium,Corona","Smirnoff,Crown Royal","Mcdonald's,Five Guys Burgers and Fries,Burger King","Firehouse Subs,Subway,Jimmy John's","Music City Hot Chicken,Raising Cane's Chicken Fingers,Popeyes","Hershey,Nestle","General Mills,Kellogg","Campbell,Pepsico",,3,5,5,3,4,4,2,1,4,,5,4,4,,1,4,3,2,3,3,,5,5,,2,,,,1,5,4,4,,,,4,,2,,,,,,,,1,,,,,,5,4,4,2,4,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",80228,65+ years old,Male,,Republican,,3,3,2,3,3,1,2,3,4,698,W
562,R_6fH8MbS6UMpJGb7,"Angry Orchard,Budweiser,Crown Royal,Coors Light","White Claw,Truly,Topo Chico Seltzer","New Belgium,High Noon,Odells,Scrumpys Cider,Smirnoff,Titos","Burger King,CAVA,Cracker Barrel,Chipotle,Chick-fil-A,Denver Biscuit Co,Papa John's,Panera Bread,Domino's,Firehouse Subs,Illegal Pete's,KFC","Five Guys Burgers and Fries,Taco Bell,Mcdonald's,Subway,Sweetgreen,Waffle House,Jimmy John's,Music City Hot Chicken,Popeyes,Raising Cane's Chicken Fingers","Sonic Drive-In,Starbucks","Campbell,Ben & Jerry's,Hershey,Kraft,Coca-Cola,Chocolove,Impossible Burger,General Mills,Kellogg,Larabar","Tyson,Nestle","Pueblo Chiles,Pepsico",5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,5,5,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,6,7,6,6,6,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",80919,55-64 years old,Male,,Republican,,4,4,3,4,5,4,3,5,3,562,W
591,R_7p8UQq6JtjwVJM1,"Bacardi,Crown Royal","Truly,Smirnoff","Coors Light,White Claw","Burger King,Chick-fil-A","Cracker Barrel,Chipotle","Waffle House,Illegal Pete's","Ben & Jerry's,Coca-Cola","Hershey,Kellogg","Kraft,Pepsico",3,4,3,3,3,5,3,3,3,5,3,3,3,4,4,5,5,5,3,3,5,3,5,5,3,5,5,3,3,5,5,5,5,4,5,5,5,5,5,5,5,1,3,5,5,3,5,5,5,3,5,5,4,4,4,4,4,No,Black or African American,High school diploma or GED,"Less than $25,000",80010,55-64 years old,Male,,Democrat,,6,2,2,3,2,2,2,3,2,591,B
3583,R_7CUIYfxcQd5tL45,"Coors Light,Budweiser,Crown Royal,Bacardi,Smirnoff,Corona","White Claw,Titos,New Belgium,Odells","Scrumpys Cider,Truly,High Noon,Angry Orchard,Topo Chico Seltzer","Burger King,Chick-fil-A,Domino's,Sonic Drive-In,Five Guys Burgers and Fries,Taco Bell,Mcdonald's","Papa John's,Popeyes,Subway,Starbucks,Firehouse Subs","Illegal Pete's,Music City Hot Chicken,Panera Bread,Raising Cane's Chicken Fingers,Sweetgreen,CAVA","Coca-Cola,Campbell,Kraft,Nestle,Pepsico,Tyson","Hershey,Kellogg,General Mills,Ben & Jerry's","Chocolove,Impossible Burger,Pueblo Chiles,Larabar",2,2,2,5,2,2,2,2,2,4,2,2,2,2,2,1,3,4,2,4,5,2,5,5,1,5,5,1,4,5,3,2,1,1,5,3,3,3,,5,5,3,2,2,2,2,5,1,4,1,5,5,7,7,2,1,4,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",80466,55-64 years old,Male,,Republican,,6,3,2,3,3,5,5,1,1,3583,W
362,R_35G9IaCcpT6ZI22,"Smirnoff,Truly,White Claw","Scrumpys Cider,Odells,Titos","Topo Chico Seltzer,High Noon,New Belgium","Chipotle,Domino's,Jimmy John's","KFC,Chick-fil-A,Burger King","Popeyes,Sonic Drive-In,Subway","Coca-Cola,Kellogg,Nestle","Pepsico,Tyson,Kraft","General Mills,Hershey,Ben & Jerry's",2,2,5,5,2,5,2,2,5,5,2,3,,2,3,5,5,3,,5,5,3,5,5,3,5,5,3,5,5,5,5,3,3,5,5,5,3,5,5,5,3,3,5,5,3,3,5,5,3,5,5,7,7,7,7,7,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",80017,45-54 years old,Female,,Democrat,,7,5,5,5,5,5,5,5,5,362,W
624,R_314KlEUa4JvqbTV,"Corona,New Belgium,Odells,Coors Light,Budweiser","Scrumpys Cider,Angry Orchard,Topo Chico Seltzer,White Claw","Titos,Truly,High Noon,Crown Royal,Bacardi,Smirnoff","Firehouse Subs,KFC,Denver Biscuit Co,Subway,Chick-fil-A,Jimmy John's,Burger King,Popeyes,Taco Bell,Starbucks,Sweetgreen,Sonic Drive-In,Waffle House,Mcdonald's,Music City Hot Chicken","CAVA,Panera Bread,Raising Cane's Chicken Fingers,Five Guys Burgers and Fries,Cracker Barrel,Chipotle,Illegal Pete's","Papa John's,Domino's","Ben & Jerry's,Chocolove,Hershey,Nestle,Larabar","Coca-Cola,Pepsico","Kraft,Pueblo Chiles,Kellogg,General Mills,Tyson,Campbell,Impossible Burger",4,1,5,5,4,1,1,4,4,1,4,1,1,1,1,5,5,4,2,2,4,5,4,4,1,4,5,1,4,2,3,5,2,2,2,2,1,4,4,3,5,1,5,1,1,4,4,4,2,1,5,3,6,6,5,6,6,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",80020,45-54 years old,Male,,Independent,,3,3,2,2,3,1,1,1,1,624,W
462,R_1U8X2N99k96Kv0g,"Angry Orchard,New Belgium,High Noon,Budweiser,Corona,Coors Light","Titos,Odells,Bacardi,Crown Royal","Scrumpys Cider,Truly,White Claw,Topo Chico Seltzer,Smirnoff","Chick-fil-A,Five Guys Burgers and Fries,Sonic Drive-In,Domino's,KFC,Mcdonald's,Raising Cane's Chicken Fingers,Popeyes,Taco Bell,Burger King","Illegal Pete's,CAVA,Music City Hot Chicken,Sweetgreen,Denver Biscuit Co,Waffle House,Starbucks,Cracker Barrel","Papa John's,Firehouse Subs,Jimmy John's,Chipotle,Subway,Panera Bread","Kellogg,Nestle,Hershey,Chocolove,Ben & Jerry's","Pepsico,Coca-Cola","Campbell,Larabar,Pueblo Chiles,Tyson,Impossible Burger,Kraft,General Mills",3,4,1,1,1,1,1,1,1,1,1,4,1,3,3,5,1,3,1,4,5,1,4,1,1,5,1,2,1,1,5,2,2,1,1,1,1,1,4,1,2,1,4,1,1,5,2,3,4,1,1,2,6,4,2,5,5,Yes,White or Caucasian,High school diploma or GED,"$25,000-$49,999",80906,18-24 years old,Female,,Democrat,,3,1,1,2,2,2,2,2,3,462,H
498,R_3K6J4yxRTzR64vF,"Budweiser,Coors Light","Scrumpys Cider,Angry Orchard","White Claw,Truly","Burger King,Mcdonald's","Subway,Firehouse Subs","Popeyes,KFC","Pepsico,Coca-Cola","General Mills,Kellogg","Kraft,Tyson",1,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,Yes,American Indian/Native American or Alaska Native,"Some college, but no degree","$25,000-$49,999",80004,35-44 years old,Male,,Democrat,,1,1,1,1,1,1,1,1,1,498,H
732,R_5jVq31XYA3J8aXG,"Odells,Coors Light,Corona,New Belgium,Budweiser","Bacardi,Titos,Smirnoff,Crown Royal","High Noon,White Claw,Truly,Angry Orchard,Scrumpys Cider,Topo Chico Seltzer","Burger King,Firehouse Subs,Popeyes,Sonic Drive-In,Jimmy John's,Mcdonald's,KFC,Chipotle,Subway,Raising Cane's Chicken Fingers,Taco Bell,Chick-fil-A","Sweetgreen,CAVA,Music City Hot Chicken,Illegal Pete's,Denver Biscuit Co,Starbucks,Panera Bread,Cracker Barrel,Waffle House,Five Guys Burgers and Fries","Papa John's,Domino's","Hershey,Chocolove,Ben & Jerry's","Pueblo Chiles,Campbell,Impossible Burger,Larabar,Tyson,Kraft,General Mills,Nestle,Kellogg","Pepsico,Coca-Cola",3,5,4,4,4,3,3,4,4,4,3,4,3,3,3,4,4,4,3,4,4,4,4,4,5,5,4,3,2,4,4,4,4,3,4,5,4,3,3,2,4,3,4,4,3,3,4,4,3,3,3,3,6,6,5,5,5,No,White or Caucasian,Associates or technical degree,"$50,000-$74,999",80538,65+ years old,Female,,Independent,,5,3,2,2,3,3,4,1,1,732,W
742,R_5kFWPBMp7NkLU9E,"White Claw,Truly,High Noon","Bacardi,Smirnoff,Crown Royal","Budweiser,Coors Light,Corona","Panera Bread,Starbucks,Chipotle","Jimmy John's,Subway,Firehouse Subs","Taco Bell,Mcdonald's,Burger King","Coca-Cola,Pepsico","Hershey,Nestle","Kellogg,General Mills",4,5,5,,,,4,4,4,5,,,,4,4,5,5,5,,5,5,4,5,5,4,,,,,,,5,,3,4,,,,4,4,,3,5,4,4,,4,,4,,,,6,5,4,4,5,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",80498,55-64 years old,Female,,Independent,,3,3,1,1,1,5,5,1,1,742,W
1002,R_5Dj2Ab8zn5SOupg,"Coors Light,Budweiser","Angry Orchard,Corona","Crown Royal,Bacardi","Firehouse Subs,Subway,Jimmy John's","Domino's,Papa John's","Burger King,Mcdonald's","Coca-Cola,Pepsico","Nestle,Hershey","Kellogg,General Mills",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,2,4,1,3,4,1,4,5,1,4,3,1,1,2,1,3,1,4,1,4,4,3,1,5,3,2,1,1,5,4,1,4,1,7,6,5,4,4,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",80503,35-44 years old,Female,,Democrat,,2,3,2,1,4,5,5,1,1,1002,W
342,R_7IsdzXWBXQYqus5,"Topo Chico Seltzer,White Claw,Truly,Angry Orchard,Scrumpys Cider","Budweiser,New Belgium,Coors Light,Odells,High Noon,Corona","Titos,Smirnoff,Bacardi,Crown Royal","Taco Bell,Chick-fil-A,Mcdonald's,Sonic Drive-In,Firehouse Subs,Denver Biscuit Co,Domino's,Chipotle,Five Guys Burgers and Fries,Raising Cane's Chicken Fingers,Illegal Pete's,Cracker Barrel,Burger King,CAVA","Music City Hot Chicken,KFC,Panera Bread,Jimmy John's,Starbucks,Papa John's,Subway,Waffle House","Sweetgreen,Popeyes","Chocolove,Coca-Cola,Ben & Jerry's,Kraft","Impossible Burger,Kellogg,Pepsico,Larabar","Tyson,Campbell,General Mills,Hershey,Nestle,Pueblo Chiles",5,5,5,4,1,1,1,1,1,1,1,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,,4,5,4,5,5,5,5,5,5,5,7,7,7,7,7,No,"White or Caucasian,Black or African American",Associates or technical degree,"$75,000-$99,999",80910,25-34 years old,Male,,Democrat,,3,1,1,1,2,1,1,1,1,342,W
408,R_3R2BorkwvNzoik7,"Titos,Smirnoff,Bacardi","Scrumpys Cider,Angry Orchard","White Claw,High Noon,Truly,Topo Chico Seltzer","Illegal Pete's,CAVA,Chipotle","Subway,Firehouse Subs,Jimmy John's","Chick-fil-A,Popeyes,Raising Cane's Chicken Fingers,Music City Hot Chicken,KFC","Kellogg,General Mills","Pepsico,Coca-Cola,Nestle","Tyson,Impossible Burger",2,2,2,,2,2,,,2,2,2,,2,2,2,4,2,,2,2,2,2,2,2,,1,2,2,2,1,1,4,1,4,2,,,4,,,,1,,,,,4,,,,4,,6,5,6,5,5,No,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Prefer not to say,80230,25-34 years old,Female,,Independent,,2,2,2,2,3,4,5,1,1,408,W
503,R_6cUNDbAGA56U71E,"High Noon,Angry Orchard,Bacardi,Crown Royal","Budweiser,Odells,Coors Light,Corona","Scrumpys Cider,New Belgium,Smirnoff,White Claw,Titos,Topo Chico Seltzer,Truly","Papa John's,Domino's","Jimmy John's,Firehouse Subs","Mcdonald's,Burger King","Ben & Jerry's,Kellogg","Hershey,Coca-Cola","Nestle,Kraft",2,4,2,2,1,4,2,4,4,4,2,5,2,4,5,4,2,2,4,2,4,2,4,,,5,,,,2,4,4,2,,,,,2,4,,,,,,,4,,4,,,,,5,3,5,5,3,Yes,Other,"Some college, but no degree","$150,000 or more",80018,18-24 years old,Female,,Independent,,3,1,1,1,4,3,3,1,1,503,H
366,R_5JjDUe8iinseKsh,"Coors Light,Budweiser,Corona","Angry Orchard,High Noon","White Claw,Bacardi","Chick-fil-A,Panera Bread,Starbucks","Chipotle,Domino's,Firehouse Subs","Burger King,Subway","Hershey,Chocolove","Nestle,Kraft","Coca-Cola,Tyson",4,4,5,5,5,4,4,4,4,4,3,3,,3,4,3,4,5,5,4,5,3,4,5,3,5,4,3,5,4,5,5,4,4,4,5,4,3,3,3,3,3,5,3,3,3,3,5,5,,3,3,7,7,7,7,7,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",80925,55-64 years old,Female,,Democrat,,5,4,2,2,3,2,2,2,1,366,W
437,R_52F6uzpbYRkSdsl,"Coors Light,New Belgium,High Noon,Corona,Budweiser","Smirnoff,Odells,Titos,Bacardi,Crown Royal","Scrumpys Cider,White Claw,Topo Chico Seltzer,Truly,Angry Orchard","Cracker Barrel,CAVA,Illegal Pete's,Sweetgreen,Denver Biscuit Co,Taco Bell,Papa John's,Music City Hot Chicken,Burger King,Five Guys Burgers and Fries,Subway,Starbucks,Sonic Drive-In,Raising Cane's Chicken Fingers","Chick-fil-A,Mcdonald's,Firehouse Subs,Panera Bread,Domino's","Chipotle,Popeyes,Jimmy John's,Waffle House,KFC","Larabar,Ben & Jerry's,Nestle,Hershey,Pepsico,Coca-Cola,Chocolove","Impossible Burger,Pueblo Chiles","Kellogg,Tyson,Kraft,General Mills,Campbell",,2,4,,4,3,2,4,1,1,1,4,5,4,4,5,1,1,5,5,1,5,1,1,5,1,1,5,1,1,4,4,5,5,1,4,5,5,4,1,1,,1,1,4,2,1,4,1,1,5,5,7,7,1,7,7,No,White or Caucasian,High school diploma or GED,"$50,000-$74,999",80501,18-24 years old,Male,,No preference,,4,2,2,1,1,5,5,5,1,437,W
2232,R_3Kmdm03owlu2rKZ,"Budweiser,Coors Light,Corona,Odells,New Belgium","Angry Orchard,White Claw,Topo Chico Seltzer,Titos,Scrumpys Cider,Smirnoff","Crown Royal,Bacardi","Taco Bell,Chick-fil-A,Burger King,Sonic Drive-In,Mcdonald's,Firehouse Subs,Raising Cane's Chicken Fingers,Jimmy John's,KFC,Popeyes,Five Guys Burgers and Fries,Subway","Denver Biscuit Co,Starbucks,Chipotle,Waffle House,Panera Bread,Cracker Barrel","Papa John's,Domino's","Kellogg,Pepsico,Campbell,Kraft,Nestle,General Mills,Tyson,Hershey,Coca-Cola,Larabar","Pueblo Chiles,Chocolove","Impossible Burger,Ben & Jerry's",1,1,2,1,1,1,3,3,3,4,3,3,3,3,3,4,4,4,4,5,5,4,4,4,5,4,5,4,4,4,1,4,4,3,4,3,4,4,4,4,4,1,5,4,4,2,5,2,2,3,4,5,2,2,2,2,2,No,"White or Caucasian,Black or African American",High school diploma or GED,"Less than $25,000",80909,35-44 years old,Female,,Independent,,4,4,2,3,1,1,2,2,2,2232,W
15061,R_5At17TxeoqH1ffX,"Budweiser,Odells,Titos,Bacardi,Coors Light","Smirnoff,High Noon,Angry Orchard,Corona,Truly,Scrumpys Cider","Crown Royal,New Belgium,Topo Chico Seltzer,White Claw","Burger King,Firehouse Subs,Mcdonald's,Chick-fil-A,Cracker Barrel,CAVA,Domino's,Chipotle,Illegal Pete's,Jimmy John's,Sonic Drive-In,Taco Bell","Waffle House,Five Guys Burgers and Fries,Papa John's,Subway,Starbucks,Music City Hot Chicken,KFC,Popeyes,Panera Bread,Denver Biscuit Co","Sweetgreen,Raising Cane's Chicken Fingers","Coca-Cola,Hershey","Kraft,Nestle","Pueblo Chiles,Pepsico",5,4,3,5,4,5,4,4,4,5,4,5,5,5,5,4,1,2,4,4,4,2,4,2,3,4,1,4,4,5,5,5,4,5,4,4,4,5,4,4,4,4,4,5,5,4,4,5,4,4,4,4,7,6,7,5,5,No,White or Caucasian,"Some college, but no degree","Less than $25,000",80222,25-34 years old,Female,,Republican,,6,4,4,4,4,4,4,3,4,15061,W
656,R_7KDx0zbVtukKUy1,"Budweiser,Corona,Crown Royal,Odells","Titos,Topo Chico Seltzer","Coors Light,New Belgium,Truly","Firehouse Subs,Burger King,Cracker Barrel","Popeyes,Domino's,KFC,Mcdonald's","Subway,Waffle House,Sonic Drive-In","Pepsico,Ben & Jerry's,General Mills,Larabar,Impossible Burger","Chocolove,Coca-Cola,Nestle,Kraft,Tyson","Campbell,Pueblo Chiles,Hershey,Kellogg",1,2,2,2,2,2,2,2,2,4,2,2,2,1,2,5,5,3,2,5,4,5,4,5,2,5,4,2,4,4,2,2,,,4,2,4,5,4,4,4,3,4,4,4,4,2,4,5,4,4,5,6,6,6,5,6,No,White or Caucasian,"Some college, but no degree","Less than $25,000",80211,25-34 years old,Female,,No preference,,6,4,3,3,5,4,4,3,3,656,W
330,R_5SvirdzXO7xsmoy,"Odells,Angry Orchard,Scrumpys Cider,Truly,Topo Chico Seltzer,White Claw","Bacardi,Titos,Smirnoff,Crown Royal","High Noon,New Belgium,Budweiser,Corona,Coors Light","Sweetgreen,Taco Bell,Subway,Sonic Drive-In,Music City Hot Chicken,Papa John's,Mcdonald's,Firehouse Subs,KFC,Jimmy John's,Domino's,Burger King,CAVA","Chick-fil-A,Raising Cane's Chicken Fingers,Popeyes,Chipotle,Five Guys Burgers and Fries,Starbucks,Illegal Pete's,Panera Bread","Waffle House,Denver Biscuit Co,Cracker Barrel","Ben & Jerry's,Hershey,Chocolove","Larabar,Pueblo Chiles,Tyson,General Mills,Nestle,Kraft,Kellogg,Campbell,Pepsico","Coca-Cola,Impossible Burger",3,3,1,1,1,2,2,2,2,3,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,3,2,2,1,1,2,1,1,1,1,2,2,1,3,2,1,2,1,1,1,1,3,2,1,1,2,Yes,White or Caucasian,Associates or technical degree,"Less than $25,000",80908,25-34 years old,Male,,Independent,,4,1,1,1,5,5,5,1,1,330,H
384,R_7I5z2Qdjy5zZgrf,"Odells,Budweiser,Coors Light,Bacardi,Corona","Scrumpys Cider,Smirnoff,New Belgium,Crown Royal,Angry Orchard,High Noon","White Claw,Topo Chico Seltzer","Burger King,Cracker Barrel,Mcdonald's,Chick-fil-A","Papa John's,Popeyes,Five Guys Burgers and Fries","Taco Bell,Waffle House,Sonic Drive-In,Subway","Impossible Burger,Campbell,Pepsico,Hershey","Nestle,Tyson,Kraft,Kellogg","General Mills,Pueblo Chiles",2,4,4,4,4,2,2,2,4,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,1,4,5,2,3,4,5,1,4,4,2,5,2,2,4,1,4,3,2,4,4,2,4,1,4,1,4,4,5,6,6,5,5,No,White or Caucasian,"Some college, but no degree","Less than $25,000",80227,55-64 years old,Female,,Independent,,4,4,3,4,4,2,1,3,1,384,W
490,R_5UzmT9Y6C0yfIUp,"High Noon,Angry Orchard,Topo Chico Seltzer,White Claw,Truly,Scrumpys Cider","Smirnoff,Titos,Crown Royal,Bacardi","Budweiser,Coors Light,Corona,Odells,New Belgium","Cracker Barrel,Sweetgreen,Denver Biscuit Co,Illegal Pete's,Firehouse Subs,Five Guys Burgers and Fries,Music City Hot Chicken,Waffle House","Panera Bread,Subway,Chipotle,Papa John's,CAVA,Jimmy John's,Domino's","Chick-fil-A,Burger King,KFC,Mcdonald's,Taco Bell,Sonic Drive-In,Starbucks,Popeyes,Raising Cane's Chicken Fingers","Ben & Jerry's,Hershey,Larabar,Nestle,Chocolove","Kraft,Coca-Cola,Campbell,Kellogg,Pepsico,General Mills","Impossible Burger,Tyson,Pueblo Chiles",3,3,,3,3,,3,,,,,3,3,,,5,3,3,3,4,,,,3,4,3,,,2,,3,,,3,3,,3,3,,3,3,3,,3,3,3,3,3,3,3,3,3,5,5,5,5,5,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $25,000",80202,25-34 years old,Female,,Democrat,,3,1,1,1,5,5,5,1,1,490,B
748,R_7d5n36izntGRChP,"Angry Orchard,Crown Royal,Titos","Bacardi,Corona,Smirnoff,New Belgium","White Claw,Odells,Scrumpys Cider,High Noon,Coors Light,Budweiser,Truly,Topo Chico Seltzer","Papa John's,Firehouse Subs,Cracker Barrel","Sonic Drive-In,Panera Bread,Subway","Burger King,Jimmy John's,Popeyes","Coca-Cola,Hershey,Campbell","Kellogg,Kraft,Nestle","General Mills,Ben & Jerry's,Tyson",5,2,1,1,4,5,2,2,,5,,5,,,1,,5,5,,4,5,,4,5,,4,,,4,,1,4,4,,,5,2,,,,,,4,,,,4,1,4,,,,7,7,7,7,7,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",81321,45-54 years old,Male,,Republican,,5,3,3,3,2,2,4,2,2,748,W
